name	class	type	lon	lat	place_rank	importance	display_name	west	south	east	north
	boundary	administrative	8.683299978076832	47.5812220550869	, Adlikon, Bezirk Andelfingen, Zürich, Schweiz, Suisse, Svizzera, Svizra	8.682430151604734	47.58058042039897	8.684157158934596	47.58186218103228
	place	hamlet	6.5478947732566155	46.70391448527208	19	0.275	Chavornay, District du Jura-Nord vaudois, Vaud, Schweiz, Suisse, Svizzera, Svizra	6.5478947732566155	46.70391448527208	6.5478947732566155	46.70391448527208
	place	hamlet	6.916114545697127	46.22292416843997	19	0.275	Troistorrents, Monthey, Valais - Wallis, Schweiz, Suisse, Svizzera, Svizra	6.916114545697127	46.22292416843997	6.916114545697127	46.22292416843997
	place	hamlet	7.017081526401738	47.269984555895704	19	0.275	Le Bémont (JU), District des Franches-Montagnes, Jura, Schweiz, Suisse, Svizzera, Svizra	7.017081526401738	47.269984555895704	7.017081526401738	47.269984555895704
	place	hamlet	7.027593789514993	47.321287209645156	19	0.275	, Soubey, District des Franches-Montagnes, Jura, Schweiz, Suisse, Svizzera, Svizra	7.025988555809079	47.32073203428846	7.0284568586556295	47.3217497649718
	place	hamlet	7.12460659196836	46.093318487705275	19	0.275	Vollèges, Entremont, Valais - Wallis, Schweiz, Suisse, Svizzera, Svizra	7.12460659196836	46.093318487705275	7.12460659196836	46.093318487705275
	place	hamlet	7.205378382804754	47.21529414643111	19	0.275	Tavannes, Verwaltungskreis Berner Jura, Verwaltungsregion Berner Jura, Bern - Berne, Schweiz, Suisse, Svizzera, Svizra	7.205378382804754	47.21529414643111	7.205378382804754	47.21529414643111
	place	hamlet	7.408359663015517	46.90141131859836	19	0.275	Köniz, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern - Berne, Schweiz, Suisse, Svizzera, Svizra	7.408359663015517	46.90141131859836	7.408359663015517	46.90141131859836
	place	hamlet	7.490436180899933	46.05905435717937	19	0.275	Evolène, Hérens, Valais - Wallis, Schweiz, Suisse, Svizzera, Svizra	7.490436180899933	46.05905435717937	7.490436180899933	46.05905435717937
	place	hamlet	7.627853699866575	47.54827576928744	19	0.275	, Birsfelden, Basel-Landschaft, Schweiz, Suisse, Svizzera, Svizra	7.627665286389913	47.548211270542524	7.628042136756591	47.54833079648178
	place	hamlet	7.628414796171712	47.54766569246496	19	0.275	Birsfelden, Basel-Landschaft, Schweiz, Suisse, Svizzera, Svizra	7.628414796171712	47.54766569246496	7.628414796171712	47.54766569246496
	place	hamlet	7.6317031844247385	47.54902238731265	19	0.275	Muttenz, Basel-Landschaft, Schweiz, Suisse, Svizzera, Svizra	7.6317031844247385	47.54902238731265	7.6317031844247385	47.54902238731265
	place	hamlet	7.796797375922296	46.15981074256675	19	0.275	, St. Niklaus, Visp, Valais - Wallis, Schweiz, Suisse, Svizzera, Svizra	7.79501559912427	46.1590419963172	7.79821907869814	46.1606019523168
	place	hamlet	8.598794400352517	47.186153244672425	19	0.275	, Menzingen, Zug, Schweiz, Suisse, Svizzera, Svizra	8.597822131323852	47.18580443177185	8.599488872769912	47.186779666206114
	place	hamlet	8.599962992371326	47.18723220515842	19	0.275	, Menzingen, Zug, Schweiz, Suisse, Svizzera, Svizra	8.598716145116356	47.18639451775527	8.601218059394597	47.18812487784642
	place	hamlet	8.603162868493156	47.17918955951588	19	0.275	, Menzingen, Zug, Schweiz, Suisse, Svizzera, Svizra	8.601587785143579	47.17785076003146	8.6056552712966	47.18056171897488
	place	hamlet	8.638963194622963	47.48608619678205	19	0.275	, Oberembrach, Bezirk Bülach, Zürich, Schweiz, Suisse, Svizzera, Svizra	8.637288573873436	47.485168043108416	8.640553157521481	47.48715991857857
	place	hamlet	8.644710458493776	47.17487317274812	19	0.275	, Hütten, Bezirk Horgen, Zürich, Schweiz, Suisse, Svizzera, Svizra	8.642932360737262	47.17413673873531	8.646094768985591	47.17556895453053
	place	hamlet	8.716278958828383	46.54695764865387	19	0.275	Quinto, Circolo di Quinto, Distretto di Leventina, Ticino, Schweiz, Suisse, Svizzera, Svizra	8.716278958828383	46.54695764865387	8.716278958828383	46.54695764865387
	place	hamlet	8.780034530376422	47.28934243554639	19	0.275	, Gossau (ZH), Bezirk Hinwil, Zürich, Schweiz, Suisse, Svizzera, Svizra	8.778538394496735	47.28850487387179	8.781558142753058	47.290113277271765
	place	hamlet	8.80933804437004	47.371805359167084	19	0.275	, Hittnau, Bezirk Pfäffikon, Zürich, Schweiz, Suisse, Svizzera, Svizra	8.808414263435195	47.37063352719395	8.810255180829188	47.372836458986
	place	hamlet	8.869977885460143	47.62479022386399	19	0.275	, Eschenz, Bezirk Frauenfeld, Thurgau, Schweiz, Suisse, Svizzera, Svizra	8.869037551604094	47.62420805877905	8.87114023583419	47.62544715552521
	place	hamlet	8.897918092358427	47.539174321636	19	0.275	, Frauenfeld, Bezirk Frauenfeld, Thurgau, Schweiz, Suisse, Svizzera, Svizra	8.896955491780233	47.53877886344428	8.89876397120895	47.53958469961536
	place	hamlet	8.905483729537394	47.51839679904482	19	0.275	, Aadorf, Bezirk Münchwilen, Thurgau, Schweiz, Suisse, Svizzera, Svizra	8.905216444090968	47.518091572040746	8.905720783204913	47.51881979178848
